DefaultBoard1
ClausTeuber
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 |
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 |
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 |
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 |
-1 2 | -1 2 | -1 2 | 1 2 | 1 3 | 1 2 | -1 2 | -1 2 | -1 2 | -1 2 |
-1 2 | -1 2 | 1 6 | 1 5 | 1 10 | 1 11 | -1 2 | -1 2 | -1 2 | -1 2 |
-1 2 | -1 2 | 1 7 | 2 3 | 1 9 | 1 2 | 1 3 | -1 2 | -1 2 | -1 2 |
-1 2 | -1 2 | 1 4 | 1 8 | 1 7 | 1 6 | -1 2 | -1 2 | -1 2 | -1 2 |
-1 2 | -1 2 | -1 2 | 4 3 | 3 3 | 2 2 | -1 2 | -1 2 | -1 2 | -1 2 |
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 |
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 |
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 |
