DefaultBoard1
Bob
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | 1 2 | 4 3 | 0 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | 3 6 | 0 5 | 3 10 | 1 11 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | 4 7 | 5 3 | 4 9 | 2 2 | 3 3 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | 0 4 | 2 8 | 1 7 | 0 6 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | 4 3 | 3 3 | 1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
