Silas
Bob
11
15
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 2 9 -1 | 2 11 -1 | 2 10 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 2 3 4 | 2 10 -1 | 3 2 -1 | 2 6 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 1 5 -1 | 3 8 -1 | 2 11 -1 | 2 3 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 3 4 -1 | 0 6 -1 | 4 4 -1 | 0 9 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | 4 2 -1 | 2 9 -1 | 3 12 -1 | 5 7 -1 | 4 12 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 1 10 -1 | 4 11 -1 | 1 5 -1 | 0 5 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 3 8 -1 | 0 4 -1 | 2 3 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
