asdasd
Bob
4
8
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 3 5 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 3 11 -1 | 3 8 -1 | 3 2 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 3 3 -1 | 3 11 -1 | 3 10 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 3 3 -1 | 3 12 -1 | 3 9 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 3 4 -1 | 3 6 -1 | 5 7 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
