hi
Bob
2
6
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 3 10 -1 | 3 8 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | 5 7 -1 | 3 11 4 | 3 6 -1 | 3 4 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 3 5 -1 | 3 12 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | -1 -1 -1 | 
