high
Bob
50
54
4 6 -1 | 4 6 -1 | 4 9 -1 | 4 8 -1 | 4 10 -1 | 4 4 -1 | 4 2 -1 | 4 6 -1 | 4 5 -1 | 4 4 -1 | 
4 11 -1 | 4 9 -1 | 4 4 -1 | 4 9 -1 | 4 3 -1 | 4 9 -1 | 4 6 -1 | 4 5 -1 | 4 5 -1 | -1 -1 -1 | 
-1 -1 -1 | -1 -1 -1 | 4 2 -1 | -1 -1 -1 | 4 3 -1 | 4 10 -1 | 4 5 -1 | 4 4 -1 | 4 5 -1 | 4 10 -1 | 
-1 -1 -1 | 4 11 -1 | 4 10 -1 | 1 6 4 | 4 4 -1 | 2 4 -1 | 4 2 -1 | 4 2 -1 | 4 9 -1 | 2 2 2 | 
-1 -1 -1 | -1 -1 -1 | 4 3 -1 | 4 3 -1 | 0 6 -1 | 4 12 -1 | 0 9 -1 | 4 3 -1 | 4 10 -1 | -1 -1 -1 | 
-1 -1 -1 | 4 10 -1 | 4 3 -1 | 2 5 -1 | 4 5 -1 | 5 7 -1 | 4 3 -1 | 4 2 -1 | -1 -1 -1 | 2 12 3 | 
-1 -1 -1 | 4 8 -1 | 4 4 -1 | 1 10 -1 | 4 8 -1 | 1 8 -1 | 0 12 -1 | 4 9 -1 | 4 6 -1 | 4 2 -1 | 
-1 -1 -1 | 4 4 -1 | 4 5 -1 | 4 11 -1 | 0 12 -1 | 2 12 -1 | 4 11 -1 | 4 12 -1 | 4 3 -1 | 4 2 -1 | 
-1 -1 -1 | 4 2 -1 | 4 12 -1 | 4 5 -1 | 4 11 -1 | 4 5 -1 | 4 4 -1 | 4 6 -1 | 4 3 -1 | 4 4 -1 | 
-1 -1 -1 | 4 11 -1 | 4 8 -1 | 4 9 -1 | 4 10 -1 | 4 11 -1 | 4 12 -1 | 4 9 -1 | 4 12 -1 | 4 8 -1 | 
-1 -1 -1 | 4 8 -1 | 4 11 -1 | 4 3 -1 | 4 6 -1 | 4 8 -1 | 4 8 -1 | 4 11 -1 | 4 9 -1 | 4 10 -1 | 
-1 -1 -1 | 4 2 -1 | 4 8 -1 | 4 12 -1 | 4 6 -1 | 4 5 -1 | 4 3 -1 | 4 11 -1 | 4 9 -1 | 4 10 -1 | 
