squirrel
Bob
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | 4 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | 3 2 | 2 9 | 0 8 | 4 2 | -1 2 | 3 2 | 2 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | 2 4 | 0 2 | -1 2 | 1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | 4 5 | 1 2 | -1 2 | 0 5 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 
-1 2 | -1 2 | -1 2 | 3 2 | -1 2 | 1 2 | -1 2 | -1 2 | -1 4 | -1 9 | 
-1 2 | -1 2 | -1 2 | -1 2 | -1 2 | -1 2 | 1 2 | -1 2 | -1 2 | -1 2 | 
